BioSample	collection_year
SAMEA2275737	2011
SAMEA2275739	2011
SAMEA2275742	2011
SAMEA2275745	2011
SAMEA2275746	2012
SAMEA2275749	2012
SAMEA2275750	2012
SAMEA2275751	2012
SAMEA2275752	2012
SAMEA2275753	2012
SAMEA2275754	2012
SAMEA2275755	2012
SAMEA2275756	2012
SAMEA2275760	2012
SAMEA2275762	2012
SAMEA2275763	2012
SAMEA2275765	2012
SAMEA2275766	2012
SAMEA2275767	2012
SAMEA2275768	2012
SAMEA2275769	2012
SAMEA2275770	2012
SAMEA2275771	2012
SAMEA2275772	2012
SAMEA2275773	2012
SAMEA2275776	2012
SAMEA2275779	2012
SAMEA2275780	2012
SAMEA2275781	2012
SAMEA2275784	2012
SAMEA2275785	2012
SAMEA2275787	2012
SAMEA2275788	2012
SAMEA2275789	2012
SAMEA2275791	2012
SAMEA2275793	2012
SAMEA2275794	2012
SAMEA2275795	2012
SAMEA2275796	2012
SAMEA2275797	2012
SAMEA2275799	2012
SAMEA2275800	2012
SAMEA2275801	2012
SAMEA2275802	2012
SAMEA2275803	2012
SAMEA2275804	2012
SAMEA2275806	2012
SAMEA2275807	2012
SAMEA2275809	2013
SAMEA2275810	2010
SAMEA2275811	2012
SAMEA2275812	2008
SAMEA2275813	2007
SAMEA2275814	2008
SAMEA2275815	2010
SAMEA2275816	2009
SAMEA2275821	2013
SAMEA2275825	2012
SAMEA2275834	2011
SAMEA2275835	2010
SAMEA2275840	2012
SAMEA2275842	2007
SAMEA2275847	2010
SAMEA2275848	2008
SAMEA2275849	2013
SAMEA2275850	2011
SAMEA2275851	2011
SAMEA2275855	2012
SAMEA2275857	2012
SAMEA2275858	2012
SAMEA2275859	2012
SAMEA2275868	2012
SAMEA2275869	2013
SAMEA2275870	2013
SAMEA2275871	2013
SAMEA2275872	2013
SAMEA2275873	2013
SAMEA2275874	2013
SAMEA2275875	2013
SAMEA2275876	2013
SAMEA2275877	2013
SAMEA2275878	2013
SAMEA2275879	2013
SAMEA2275880	2013
SAMEA2275881	2013
SAMEA2275882	2013
SAMEA2275883	2013
SAMEA2275884	2013
SAMEA2275885	2013
SAMEA2275886	2013
SAMEA2649853	2009
SAMEA2649854	2009
SAMEA2649856	2007
SAMEA2649857	2009
SAMEA2649858	2012
SAMEA2649862	2012
SAMEA2649864	2006
SAMEA2649866	2008
SAMEA2649867	2007
SAMEA2649868	2010
SAMEA2649869	2012
SAMEA2649870	2007
SAMEA2649871	2009
SAMEA2649872	2009
SAMEA2649875	2009
