Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR494832_2	ERR494832_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2126754.0	0.0	15-100	63.0	94.16413567535655	94.57842891091306	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass		
ERR494833_1	ERR494833_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2568074.0	0.0	15-100	63.0	93.93235315307771	95.69577356415742	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494833_2	ERR494833_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2568074.0	0.0	15-100	63.0	94.00989103496748	94.78433799026041	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494834_1	ERR494834_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2043843.0	0.0	15-100	63.0	94.77183366694439	95.62895290880954	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494834_2	ERR494834_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2043843.0	0.0	15-100	64.0	94.99895604981336	94.62024627136233	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494835_1	ERR494835_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1785101.0	0.0	15-100	63.0	95.86863008124162	95.65344481908866	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494835_2	ERR494835_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1785101.0	0.0	15-100	63.0	95.97068314428435	94.59181413264571	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494836_1	ERR494836_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1867885.0	0.0	15-100	64.0	95.18206496415276	95.69741820294075	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494836_2	ERR494836_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1867885.0	0.0	15-100	64.0	95.42099267332001	94.73803579984849	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494838_1	ERR494838_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1762062.0	0.0	15-100	63.0	95.84884195093211	95.6498885964285	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494838_2	ERR494838_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1762062.0	0.0	15-100	63.0	95.82966601701897	94.5511338420555	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494839_1	ERR494839_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1696223.0	0.0	15-100	64.0	95.78039022285955	95.64844834670913	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494839_2	ERR494839_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1696223.0	0.0	15-100	64.0	95.92036125249926	94.67308602701414	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494840_1	ERR494840_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1620977.0	0.0	15-100	64.0	96.28527785785097	95.6032466839443	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494840_2	ERR494840_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1620977.0	0.0	15-100	64.0	96.29066143490462	94.60545091016097	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494841_1	ERR494841_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1667219.0	0.0	15-100	64.0	95.85378356698806	95.59198401649694	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494841_2	ERR494841_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1667219.0	0.0	15-100	64.0	96.07197375990438	94.55685425849873	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494842_1	ERR494842_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1803525.0	0.0	15-100	63.0	96.01566357920994	95.78637501559446	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494842_2	ERR494842_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1803525.0	0.0	15-100	63.0	96.20466431970866	94.81697675385703	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494843_1	ERR494843_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1691835.0	0.0	15-100	63.0	95.83141540394799	95.5858378624393	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494843_2	ERR494843_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1691835.0	0.0	15-100	63.0	95.95575799412191	94.53055883109168	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494844_1	ERR494844_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1725895.0	0.0	15-100	61.0	97.245752592626	95.98919285356294	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494844_2	ERR494844_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1725895.0	0.0	15-100	61.0	97.31146756065137	95.1562511044994	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
